Source Well,Destination Well,Transfer Volume
A3,S99,2.5
A3,S100,2.5
A3,S101,2.5
A3,S102,2.5
A3,S103,2.5
A3,S104,2.5
A3,S105,2.5
A3,S106,2.5
A3,S107,2.5
A3,S108,2.5
A3,S109,2.5
A3,S110,2.5
A3,S111,2.5
A3,S112,2.5
A3,S113,2.5
A3,S114,2.5
A3,S115,2.5
A3,S116,2.5
A3,S117,2.5
A3,S118,2.5
A3,S119,2.5
A3,S120,2.5
A3,S121,2.5
A3,S122,2.5
A3,S123,2.5
A3,S124,2.5
A3,S125,2.5
A3,S126,2.5
A3,S127,2.5
A3,S128,2.5
A3,S129,2.5
A3,S130,2.5
A3,S131,2.5
A3,S132,2.5
A3,S133,2.5
A3,S134,2.5
A3,S135,2.5
A3,S136,2.5
A3,S137,2.5
A1,S138,2.5
A1,T86,2.5
A3,T87,2.5
A3,T88,2.5
A3,T89,2.5
A3,T90,2.5
A3,T91,2.5
A3,T92,2.5
A3,T93,2.5
A3,T94,2.5
A3,T95,2.5
A3,T96,2.5
A3,T97,2.5
A3,T98,2.5
A3,T99,2.5
A3,T100,2.5
A3,T101,2.5
A3,T102,2.5
A3,T103,2.5
A3,T104,2.5
A3,T105,2.5
A3,T106,2.5
A3,T107,2.5
A3,T108,2.5
A3,T109,2.5
A3,T110,2.5
A3,T111,2.5
A3,T112,2.5
A3,T113,2.5
A3,T114,2.5
A3,T115,2.5
A3,T116,2.5
A3,T117,2.5
A3,T118,2.5
A3,T119,2.5
A3,T120,2.5
A3,T121,2.5
A3,T122,2.5
A3,T123,2.5
A3,T124,2.5
A3,T125,2.5
A3,T126,2.5
A3,T127,2.5
A3,T128,2.5
A3,T129,2.5
A3,T130,2.5
A3,T131,2.5
A3,T132,2.5
A3,T133,2.5
A3,T134,2.5
A3,T135,2.5
A3,T136,2.5
A3,T137,2.5
A3,T138,2.5
A1,T139,2.5
A1,U85,2.5
A3,U86,2.5
A3,U87,2.5
A3,U88,2.5
A3,U89,2.5
A3,U90,2.5
A3,U91,2.5
A3,U92,2.5
A3,U93,2.5
A3,U94,2.5
A3,U95,2.5
A3,U96,2.5
A3,U97,2.5
A3,U98,2.5
A3,U99,2.5
A3,U100,2.5
A3,U101,2.5
A3,U102,2.5
A3,U103,2.5
A3,U104,2.5
A3,U105,2.5
A3,U106,2.5
A3,U107,2.5
A3,U108,2.5
A3,U109,2.5
A3,U110,2.5
A3,U111,2.5
A3,U112,2.5
A3,U113,2.5
A3,U114,2.5
A3,U115,2.5
A3,U116,2.5
A3,U117,2.5
A3,U118,2.5
A3,U119,2.5
A3,U120,2.5
A3,U121,2.5
A3,U122,2.5
A3,U123,2.5
A3,U124,2.5
A3,U125,2.5
A3,U126,2.5
A3,U127,2.5
A3,U128,2.5
A3,U129,2.5
A3,U130,2.5
A3,U131,2.5
A3,U132,2.5
A3,U133,2.5
A3,U134,2.5
A3,U135,2.5
A3,U136,2.5
A3,U137,2.5
A3,U138,2.5
A1,U139,2.5
A1,V85,2.5
A3,V86,2.5
A3,V87,2.5
A3,V88,2.5
A3,V89,2.5
A3,V90,2.5
A3,V91,2.5
A3,V92,2.5
A3,V93,2.5
A3,V94,2.5
A3,V95,2.5
A3,V96,2.5
A3,V97,2.5
A3,V98,2.5
A3,V99,2.5
A3,V100,2.5
A3,V101,2.5
A3,V102,2.5
A3,V103,2.5
A3,V104,2.5
A3,V105,2.5
A3,V106,2.5
A3,V107,2.5
A3,V108,2.5
A3,V109,2.5
A3,V110,2.5
A3,V111,2.5
A3,V112,2.5
A3,V113,2.5
A3,V114,2.5
A3,V115,2.5
A3,V116,2.5
A3,V117,2.5
A3,V118,2.5
A3,V119,2.5
A3,V120,2.5
A3,V121,2.5
A3,V122,2.5
A3,V123,2.5
A3,V124,2.5
A3,V125,2.5
A3,V126,2.5
A3,V127,2.5
A3,V128,2.5
A3,V129,2.5
A3,V130,2.5
A3,V131,2.5
A3,V132,2.5
A3,V133,2.5
A3,V134,2.5
A3,V135,2.5
A3,V136,2.5
A3,V137,2.5
A3,V138,2.5
A3,V139,2.5
A1,V140,2.5
A1,W84,2.5
A3,W85,2.5
A3,W86,2.5
A3,W87,2.5
A3,W88,2.5
A3,W89,2.5
A3,W90,2.5
A3,W91,2.5
A3,W92,2.5
A3,W93,2.5
A3,W94,2.5
A3,W95,2.5
A3,W96,2.5
A3,W97,2.5
A3,W98,2.5
A3,W99,2.5
A3,W100,2.5
A3,W101,2.5
A3,W102,2.5
A3,W103,2.5
A3,W104,2.5
A3,W105,2.5
A3,W106,2.5
A3,W107,2.5
A3,W108,2.5
A3,W109,2.5
A3,W110,2.5
A3,W111,2.5
A3,W112,2.5
A3,W113,2.5
A3,W114,2.5
A3,W115,2.5
A3,W116,2.5
A3,W117,2.5
A3,W118,2.5
A3,W119,2.5
A3,W120,2.5
A3,W121,2.5
A3,W122,2.5
A3,W123,2.5
A3,W124,2.5
A3,W125,2.5
A3,W126,2.5
A3,W127,2.5
A3,W128,2.5
A3,W129,2.5
A3,W130,2.5
A3,W131,2.5
A3,W132,2.5
A3,W133,2.5
A3,W134,2.5
A3,W135,2.5
A3,W136,2.5
A3,W137,2.5
A3,W138,2.5
A3,W139,2.5
A1,W140,2.5
A1,X83,2.5
A3,X84,2.5
A3,X85,2.5
A3,X86,2.5
A3,X87,2.5
A3,X88,2.5
A3,X89,2.5
A3,X90,2.5
A3,X91,2.5
A3,X92,2.5
A3,X93,2.5
A3,X94,2.5
A3,X95,2.5
A3,X96,2.5
A3,X97,2.5
A3,X98,2.5
A3,X99,2.5
A3,X100,2.5
A3,X101,2.5
A3,X102,2.5
A3,X103,2.5
A3,X104,2.5
A3,X105,2.5
A3,X106,2.5
A3,X107,2.5
A3,X108,2.5
A3,X109,2.5
A3,X110,2.5
A3,X111,2.5
A3,X112,2.5
A3,X113,2.5
A3,X114,2.5
A3,X115,2.5
A3,X116,2.5
A3,X117,2.5
A3,X118,2.5
A3,X119,2.5
A3,X120,2.5
A3,X121,2.5
A3,X122,2.5
A3,X123,2.5
A3,X124,2.5
A3,X125,2.5
A3,X126,2.5
A3,X127,2.5
A3,X128,2.5
A3,X129,2.5
A3,X130,2.5
A3,X131,2.5
A3,X132,2.5
A3,X133,2.5
A3,X134,2.5
A3,X135,2.5
A3,X136,2.5
A3,X137,2.5
A3,X138,2.5
A3,X139,2.5
A3,X140,2.5
A1,X141,2.5
A1,Y83,2.5
A3,Y84,2.5
A3,Y85,2.5
A3,Y86,2.5
A3,Y87,2.5
A3,Y88,2.5
A3,Y89,2.5
A3,Y90,2.5
A3,Y91,2.5
A3,Y92,2.5
A3,Y93,2.5
A3,Y94,2.5
A3,Y95,2.5
A3,Y96,2.5
A3,Y97,2.5
A3,Y98,2.5
A3,Y99,2.5
A3,Y100,2.5
A3,Y101,2.5
A3,Y102,2.5
A3,Y103,2.5
A3,Y104,2.5
A3,Y105,2.5
A3,Y106,2.5
A3,Y107,2.5
A3,Y108,2.5
A3,Y109,2.5
A3,Y110,2.5
A3,Y111,2.5
A3,Y112,2.5
A3,Y113,2.5
A3,Y114,2.5
A3,Y115,2.5
A3,Y116,2.5
A3,Y117,2.5
A3,Y118,2.5
A3,Y119,2.5
A3,Y120,2.5
A3,Y121,2.5
A3,Y122,2.5
A3,Y123,2.5
A3,Y124,2.5
A3,Y125,2.5
A3,Y126,2.5
A3,Y127,2.5
A3,Y128,2.5
A3,Y129,2.5
A3,Y130,2.5
A3,Y131,2.5
A3,Y132,2.5
A3,Y133,2.5
A3,Y134,2.5
A3,Y135,2.5
A3,Y136,2.5
A3,Y137,2.5
A3,Y138,2.5
A3,Y139,2.5
A3,Y140,2.5
A1,Y141,2.5
A1,Z82,2.5
A3,Z83,2.5
A3,Z84,2.5
A3,Z85,2.5
A3,Z86,2.5
A3,Z87,2.5
A3,Z88,2.5
A3,Z89,2.5
A3,Z90,2.5
A3,Z91,2.5
A3,Z92,2.5
A3,Z93,2.5
A3,Z94,2.5
A3,Z95,2.5
A3,Z96,2.5
A3,Z97,2.5
A3,Z98,2.5
A3,Z99,2.5
A3,Z100,2.5
A3,Z101,2.5
A3,Z102,2.5
A3,Z103,2.5
A3,Z104,2.5
A3,Z105,2.5
A3,Z106,2.5
A3,Z107,2.5
A3,Z108,2.5
A3,Z109,2.5
A3,Z110,2.5
A3,Z111,2.5
A3,Z112,2.5
A3,Z113,2.5
A3,Z114,2.5
A3,Z115,2.5
A3,Z116,2.5
A3,Z117,2.5
A3,Z118,2.5
A3,Z119,2.5
A3,Z120,2.5
A3,Z121,2.5
A3,Z122,2.5
A3,Z123,2.5
A3,Z124,2.5
A3,Z125,2.5
A3,Z126,2.5
A3,Z127,2.5
A3,Z128,2.5
A3,Z129,2.5
A3,Z130,2.5
A3,Z131,2.5
A3,Z132,2.5
A3,Z133,2.5
A3,Z134,2.5
A3,Z135,2.5
A3,Z136,2.5
A3,Z137,2.5
A3,Z138,2.5
A3,Z139,2.5
A3,Z140,2.5
A3,Z141,2.5
A1,AA82,2.5
A3,AA83,2.5
A3,AA84,2.5
A3,AA85,2.5
A3,AA86,2.5
A3,AA87,2.5
A3,AA88,2.5
A3,AA89,2.5
A3,AA90,2.5
A3,AA91,2.5
A3,AA92,2.5
A3,AA93,2.5
A3,AA94,2.5
A3,AA95,2.5
A3,AA96,2.5
A3,AA97,2.5
A3,AA98,2.5
A3,AA99,2.5
A3,AA100,2.5
A3,AA101,2.5
A3,AA102,2.5
A3,AA103,2.5
A3,AA104,2.5
A3,AA105,2.5
A3,AA106,2.5
A3,AA107,2.5
A3,AA108,2.5
A3,AA109,2.5
A3,AA110,2.5
A3,AA111,2.5
A3,AA112,2.5
A3,AA113,2.5
A3,AA114,2.5
A3,AA115,2.5
A3,AA116,2.5
